message_id,index,text,greet,target_group,mood_unhappy,thanks,out_of_scope,tell_name,deny,mood_great,age,stop,section_item,main,non_answer,qa_item,sender_id,entity_values,site_name,sender_name,item_number,version,sub,sub_list,CRA_mobile,csp_item,token,requested_slot,site_id,index_list,sub_entity,sub_confidence_entity,sub_value,sub_extractor,sub_processors,action,user_time,bot_text,bot_time,inform_protocol,new_scope,affirm,bot_challenge,goodbye,treatment_history,nlu_fallback,clean_text
692e6d8424e64a35984a89bd66016936,confidence,hello,0.9993460774421692,0.00019424830679781735,0.0001380418543703854,8.274911670014262e-05,4.656507371691987e-05,4.244855517754331e-05,3.908176222466864e-05,3.8918635254958645e-05,3.8266651245066896e-05,3.359946276759729e-05,,,,,123465,,北京肿瘤医院,zhaoyisheng,,2.0,,,11111111111,,,,1111111111,,,,,,,,2022-07-04 01:40:10,"您好zhaoyisheng，北京肿瘤医院的方案版本是2.0。您可以直接问具体的问题，也可以按照小易的说明逐步问。同时，也可以点击选项卡提问。
<b>小易推荐如下选项，请参照选择。谢谢</b>",2022-07-04 01:40:10.177299,,,,,,,,hello
1dfb742ff6c84115bc7fdf4228f94c0c,confidence,"/inform_protocol{""sub"": ""知情同意""}",,,,,,,,,,,预筛选%@知情同意%@知情同意%@知情同意%@医学疾病,入选标准,,,123465,,北京肿瘤医院,zhaoyisheng,,2.0,,,,入选标准预筛选%@入选标准第1条%@入选标准第2条%@入选标准第3条%@排除标准第6条,,,1111111111,,sub,0,知情同意,0,0,0,2022-07-04 01:40:18,"试验方案第63页 
入选标准预筛选 
在执行方案规定的任何程序（包括预筛选/基线评价）之前，必须获得书面知情同意书和当地要求的隐私法文件授权。 
HER2 突变状态未知的受试者将需要签署预筛选ICF，以允许在28 天筛选时间窗之前采集血样进行用于确认合格性的 HER2 外显子 19 或 20 突变检测。在签署预筛选ICF时，根据现有信息（例如，病史、NSCLC、治疗线限制、肿瘤组织样本的可用性），研究者应确保受试者有可能成为本研究的候选受试者。签署预筛选ICF 后，在获得符合要求的中心实验室检测结果之前，不得开始主ICF 和其他研究程序。将要求已知既往存在符合要求的HER2 突变或经中心实验室检测结果证实的HER2 突变受试者在参与研究前签署主ICF。关于非中心实验室评估的 HER2 外显子 19 或 20 突变合格性评估的研究要求的详细信息，参见附录O。 
关于说明研究HER2 外显子19 或20 突变合格性评估的（预）筛选要求的示意图，参见图2。 
受试者将在签署预筛选 ICF 和/或主 ICF 后入组研究。不符合合格性标准（包括预筛选评估）的受试者被称为“筛选失败”。 
签署主 ICF 后，将开始筛选和基线程序。筛选期设为从入选日起最多 28 天。筛选和基线程序完成时，符合合格性标准的受试者将随机入组研究。应尽量缩短从随机化至开始治疗的时间（参见第1.3.2 节）。	/DL04 V2
试验方案第64页 
入选标准第1条 
能够签署知情同意书（如附录A所述），包括遵从ICF和本CSP中列出的要求和限制	/DL04 V2
试验方案第64页 
入选标准第2条 
为支持基因组计划的可选遗传研究的样本采集前，提供签名并注明日期的书面可选遗传研究知情同意书（请见第附录D节）	/DL04 V2
试验方案第64页 
入选标准第3条 
实施任何强制要求的研究特定程序、采样或分析前，签署书面ICF并注明日期。注：无合格HER2突变状态结果的受试者将需要签署预筛选ICF，以允许采集血样进行HER2外显子19或20突变检测。只有在确认HER2突变状态符合研究要求后才能进行主研究知情同意和主研究资格评估	/DL04 V2
试验方案第69页 
排除标准第6条 
需要引流、腹腔分流术或浓缩无细胞腹水再输注疗法治疗的胸腔积液、腹水或心包积液	/DL04 V2
<b>此项下还有以下Q＆A Log中问题，请参照选择。您也可以输入其他问题。谢谢</b>",2022-07-04 01:40:18.945611,1.0,,,,,,,知情同意
504435bb8e7c49cd93228a2bae9e1ac8,confidence,"/inform_protocol{""sub"": ""肺癌,肺炎,心包积液,洗脱期,腹水,T-DXD,胸腔积液""}",,,,,,,,,,,预筛选Q&A%@知情同意Q&A%@知情同意Q&A%@知情同意Q&A%@医学疾病Q&A,入选标准,,Q&A,123465,,北京肿瘤医院,zhaoyisheng,,2.0,,,,入选标准预筛选%@入选标准第1条%@入选标准第2条%@入选标准第3条%@排除标准第6条,,,1111111111,,sub,0,"肺癌,肺炎,心包积液,洗脱期,腹水,T-DXD,胸腔积液",0,0,0,2022-07-04 01:40:29,"<b>入选标准预筛选入选标准第1条入选标准第2条入选标准第3条排除标准第6条问题: </b>为什么有胸腔积液的患者不被允许？这是肺癌的常见症状。根据PI的判断，符合该排除标准的患者将不能参与研究
<b>
入选标准预筛选入选标准第1条入选标准第2条入选标准第3条排除标准第6条回答: </b>该排除标准仅仅是指根据排除标准6需要进行主动引流的胸腔积液：“需要引流、腹腔分流或浓缩无细胞腹水再输注疗法（CART）的胸腔积液、腹水或心包积液。”考虑到T-DXd的安全性和肺炎/间质性肺疾病的可能性，需要主动引流的胸腔积液患者被认为有更高的并发症风险。如果遵循表9中适当的洗脱期，则允许先前接受过引流的胸腔积液患者进入研究。

<b>此项下还有以下Q＆A Log中问题，请参照选择。您也可以输入其他问题。谢谢</b>",2022-07-04 01:40:29.743329,1.0,,,,,,,"肺癌,肺炎,心包积液,洗脱期,腹水,T-DXD,胸腔积液"
a53962474db841c5863f471fdbe3eef4,confidence,soa,,0.0002577763225417584,,0.0002118445554515347,0.00015689997235313058,,0.0006092384574003518,0.0005043703131377697,,0.00020249794761184603,,,<104>,,123465,,北京肿瘤医院,zhaoyisheng,,2.0,,,,,,,1111111111,,,,,,,,2022-07-04 01:40:35,"zhaoyisheng老师，您的问题""soa"",现在小易还不能回答，我会转给负责咱们中心的CRA。<104>",2022-07-04 01:40:35.483204,,0.996529757976532,0.0011614724062383175,0.00023625149333383888,0.00012988958042114973,,,soa
d437256f9bca47769f9a7fe96c7a2205,confidence,腹水,7.081615131376712e-27,,7.343545455673264e-27,,,1.6990496191485863e-27,,2.6918796018038282e-27,,4.1253627409208586e-27,医学疾病,入选标准,,,123465,,北京肿瘤医院,zhaoyisheng,,2.0,,,,排除标准第6条,,,1111111111,,sub,0.0,腹水,RegexEntityExtractor,0,0,2022-07-04 01:40:43,"试验方案第69页 
排除标准第6条 
需要引流、腹腔分流术或浓缩无细胞腹水再输注疗法治疗的胸腔积液、腹水或心包积液	/DL04 V2
<b>此项下还有以下Q＆A Log中问题，请参照选择。您也可以输入其他问题。谢谢</b>",2022-07-04 01:40:43.420975,1.0,1.7640988659852374e-27,1.6310082475503352e-27,,,4.530236741247799e-27,2.275653014826703e-27,腹水
d437256f9bca47769f9a7fe96c7a2205,confidence,腹水,7.081615131376712e-27,,7.343545455673264e-27,,,1.6990496191485863e-27,,2.6918796018038282e-27,,4.1253627409208586e-27,医学疾病,入选标准,,,123465,,北京肿瘤医院,zhaoyisheng,,2.0,,,,排除标准第6条,,,1111111111,,sub,0.9998589754104614,腹水,DIETClassifier,0,0,2022-07-04 01:40:43,"试验方案第69页 
排除标准第6条 
需要引流、腹腔分流术或浓缩无细胞腹水再输注疗法治疗的胸腔积液、腹水或心包积液	/DL04 V2
<b>此项下还有以下Q＆A Log中问题，请参照选择。您也可以输入其他问题。谢谢</b>",2022-07-04 01:40:43.420975,1.0,1.7640988659852374e-27,1.6310082475503352e-27,,,4.530236741247799e-27,2.275653014826703e-27,腹水
d437256f9bca47769f9a7fe96c7a2205,confidence,腹水,7.081615131376712e-27,,7.343545455673264e-27,,,1.6990496191485863e-27,,2.6918796018038282e-27,,4.1253627409208586e-27,医学疾病,入选标准,,,123465,,北京肿瘤医院,zhaoyisheng,,2.0,,,,排除标准第6条,,,1111111111,,sub,0.0,腹水,RegexEntityExtractor,0,0,2022-07-04 01:40:43,"试验方案第69页 
排除标准第6条 
需要引流、腹腔分流术或浓缩无细胞腹水再输注疗法治疗的胸腔积液、腹水或心包积液	/DL04 V2
<b>此项下还有以下Q＆A Log中问题，请参照选择。您也可以输入其他问题。谢谢</b>",2022-07-04 01:40:43.420975,1.0,1.7640988659852374e-27,1.6310082475503352e-27,,,4.530236741247799e-27,2.275653014826703e-27,腹水
e8e465b417a545dcb386dd1ee1f7ad00,confidence,年龄,5.5219122607752524e-09,,5.767322619476545e-09,,3.5023306477199867e-09,,5.8971463268164825e-09,8.607179857733627e-09,3.8879677255465594e-09,,年龄,入选标准,,,123465,,北京肿瘤医院,zhaoyisheng,,2.0,,,,入选标准第4条,,,1111111111,,sub,0.0,年龄,RegexEntityExtractor,0,0,2022-07-04 01:40:49,"试验方案第65页 
入选标准第4条 
签署ICF时，男性和女性受试者必须≥18岁。其他年龄限制可依照当地法规执行	/DL04 V2
<b>小易推荐如下选项，请参照选择。谢谢</b>",2022-07-04 01:40:49.756796,1.0,6.1056861788699734e-09,1.822292894360089e-08,,1.4040741014298419e-08,,,年龄
e8e465b417a545dcb386dd1ee1f7ad00,confidence,年龄,5.5219122607752524e-09,,5.767322619476545e-09,,3.5023306477199867e-09,,5.8971463268164825e-09,8.607179857733627e-09,3.8879677255465594e-09,,年龄,入选标准,,,123465,,北京肿瘤医院,zhaoyisheng,,2.0,,,,入选标准第4条,,,1111111111,,sub,0.986568808555603,年龄,DIETClassifier,0,0,2022-07-04 01:40:49,"试验方案第65页 
入选标准第4条 
签署ICF时，男性和女性受试者必须≥18岁。其他年龄限制可依照当地法规执行	/DL04 V2
<b>小易推荐如下选项，请参照选择。谢谢</b>",2022-07-04 01:40:49.756796,1.0,6.1056861788699734e-09,1.822292894360089e-08,,1.4040741014298419e-08,,,年龄
e8e465b417a545dcb386dd1ee1f7ad00,confidence,年龄,5.5219122607752524e-09,,5.767322619476545e-09,,3.5023306477199867e-09,,5.8971463268164825e-09,8.607179857733627e-09,3.8879677255465594e-09,,年龄,入选标准,,,123465,,北京肿瘤医院,zhaoyisheng,,2.0,,,,入选标准第4条,,,1111111111,,sub,0.0,年龄,RegexEntityExtractor,0,0,2022-07-04 01:40:49,"试验方案第65页 
入选标准第4条 
签署ICF时，男性和女性受试者必须≥18岁。其他年龄限制可依照当地法规执行	/DL04 V2
<b>小易推荐如下选项，请参照选择。谢谢</b>",2022-07-04 01:40:49.756796,1.0,6.1056861788699734e-09,1.822292894360089e-08,,1.4040741014298419e-08,,,年龄
